monotonic_ns,wall_ns,python_gc_objects_collected_total,python_gc_objects_uncollectable_total,python_gc_collections_total,python_info,process_virtual_memory_bytes,process_resident_memory_bytes,process_start_time_seconds,process_cpu_seconds_total,process_open_fds,process_max_fds,vllm:estimated_flops_per_gpu_total,vllm:estimated_flops_per_gpu_created,vllm:estimated_read_bytes_per_gpu_total,vllm:estimated_read_bytes_per_gpu_created,vllm:estimated_write_bytes_per_gpu_total,vllm:estimated_write_bytes_per_gpu_created,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_waiting_by_reason,vllm:engine_sleep_state,vllm:kv_cache_usage_perc,vllm:prefix_cache_queries_total,vllm:prefix_cache_queries_created,vllm:prefix_cache_hits_total,vllm:prefix_cache_hits_created,vllm:external_prefix_cache_queries_total,vllm:external_prefix_cache_queries_created,vllm:external_prefix_cache_hits_total,vllm:external_prefix_cache_hits_created,vllm:mm_cache_queries_total,vllm:mm_cache_queries_created,vllm:mm_cache_hits_total,vllm:mm_cache_hits_created,vllm:num_preemptions_total,vllm:num_preemptions_created,vllm:prompt_tokens_total,vllm:prompt_tokens_created,vllm:prompt_tokens_by_source_total,vllm:prompt_tokens_by_source_created,vllm:prompt_tokens_cached_total,vllm:prompt_tokens_cached_created,vllm:generation_tokens_total,vllm:generation_tokens_created,vllm:request_success_total,vllm:request_success_created,vllm:request_prompt_tokens_bucket,vllm:request_prompt_tokens_count,vllm:request_prompt_tokens_sum,vllm:request_prompt_tokens_created,vllm:request_generation_tokens_bucket,vllm:request_generation_tokens_count,vllm:request_generation_tokens_sum,vllm:request_generation_tokens_created,vllm:iteration_tokens_total_bucket,vllm:iteration_tokens_total_count,vllm:iteration_tokens_total_sum,vllm:iteration_tokens_total_created,vllm:request_max_num_generation_tokens_bucket,vllm:request_max_num_generation_tokens_count,vllm:request_max_num_generation_tokens_sum,vllm:request_max_num_generation_tokens_created,vllm:request_params_n_bucket,vllm:request_params_n_count,vllm:request_params_n_sum,vllm:request_params_n_created,vllm:request_params_max_tokens_bucket,vllm:request_params_max_tokens_count,vllm:request_params_max_tokens_sum,vllm:request_params_max_tokens_created,vllm:time_to_first_token_seconds_bucket,vllm:time_to_first_token_seconds_count,vllm:time_to_first_token_seconds_sum,vllm:time_to_first_token_seconds_created,vllm:inter_token_latency_seconds_bucket,vllm:inter_token_latency_seconds_count,vllm:inter_token_latency_seconds_sum,vllm:inter_token_latency_seconds_created,vllm:request_time_per_output_token_seconds_bucket,vllm:request_time_per_output_token_seconds_count,vllm:request_time_per_output_token_seconds_sum,vllm:request_time_per_output_token_seconds_created,vllm:e2e_request_latency_seconds_bucket,vllm:e2e_request_latency_seconds_count,vllm:e2e_request_latency_seconds_sum,vllm:e2e_request_latency_seconds_created,vllm:request_queue_time_seconds_bucket,vllm:request_queue_time_seconds_count,vllm:request_queue_time_seconds_sum,vllm:request_queue_time_seconds_created,vllm:request_inference_time_seconds_bucket,vllm:request_inference_time_seconds_count,vllm:request_inference_time_seconds_sum,vllm:request_inference_time_seconds_created,vllm:request_prefill_time_seconds_bucket,vllm:request_prefill_time_seconds_count,vllm:request_prefill_time_seconds_sum,vllm:request_prefill_time_seconds_created,vllm:request_decode_time_seconds_bucket,vllm:request_decode_time_seconds_count,vllm:request_decode_time_seconds_sum,vllm:request_decode_time_seconds_created,vllm:request_prefill_kv_computed_tokens_bucket,vllm:request_prefill_kv_computed_tokens_count,vllm:request_prefill_kv_computed_tokens_sum,vllm:request_prefill_kv_computed_tokens_created,vllm:cache_config_info,http_requests_total,http_requests_created,http_request_size_bytes_count,http_request_size_bytes_sum,http_request_size_bytes_created,http_response_size_bytes_count,http_response_size_bytes_sum,http_response_size_bytes_created,http_request_duration_highr_seconds_bucket,http_request_duration_highr_seconds_count,http_request_duration_highr_seconds_sum,http_request_duration_highr_seconds_created,http_request_duration_seconds_bucket,http_request_duration_seconds_count,http_request_duration_seconds_sum,http_request_duration_seconds_created,vllm:gpu_cache_usage_perc
11117129984608,1789013584886212323,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.16,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11117728126802,1789013585484354998,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.17,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11118326015966,1789013586082243801,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.18,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11118923267283,1789013586679494847,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.189999999999998,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11119520502569,1789013587276730093,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.200000000000003,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11120117597542,1789013587873825056,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.200000000000003,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11120715432623,1789013588471660228,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.21,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11121313052472,1789013589069280066,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.22,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11121911021847,1789013589667249792,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.229999999999997,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11122508347072,1789013590264574516,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.229999999999997,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11123106467029,1789013590862694974,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.240000000000002,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11123705466477,1789013591461693841,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.240000000000002,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11124303976872,1789013592060204717,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.25,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11124902191607,1789013592658419562,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.259999999999998,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
11125499741781,1789013593255969225,17846.0,0.0,2074.0,1.0,19220770816.0,1871224832.0,1789013149.11,30.259999999999998,63.0,1048576.0,0.0,1789013202.9815173,0.0,1789013202.981543,0.0,1789013202.9816914,0.0,0.0,0.0,1.0,0.0,98113714.0,1789013202.9818547,91363456.0,1789013202.981871,396348.0,1789013202.9818845,383584.0,1789013202.9819014,0.0,1789013202.9819129,0.0,1789013202.981924,0.0,1789013202.981936,908284.0,1789013202.9819467,908284.0,5367039608.945908,895520.0,1789013202.9819908,1515.0,1789013202.9820042,66.0,8945066014.910213,166.0,66.0,908284.0,1789013202.9820976,674.0,66.0,1515.0,1789013202.9821572,12444.0,942.0,909799.0,1789013202.9821937,674.0,66.0,1515.0,1789013202.9822385,396.0,66.0,66.0,1789013202.982271,396.0,66.0,33792.0,1789013202.9823012,1006.0,66.0,23.053590774536133,1789013202.9823472,26076.0,1449.0,42.33035994599777,1789013202.982397,1188.0,66.0,1.9255667999436286,1789013202.9824488,1291.0,66.0,65.37506818771362,1789013202.9824922,1443.0,66.0,16.785477802010064,1789013202.9826314,1302.0,66.0,47.80699640899911,1789013202.9826689,1449.0,66.0,5.476636463001341,1789013202.982713,1312.0,66.0,42.33035994599777,1789013202.9827478,705.0,66.0,12764.0,1789013202.9827871,1.0,67.0,3578026548.2167673,67.0,1849265.0,3578026548.216816,67.0,41417.0,3578026548.2168617,968.0,67.0,66.45758067999486,1789013203.093531,129.0,67.0,66.45758067999486,3578026548.216913,0.0
